;Company;Symbol
0;Alcoa Corp;AA
1;Aac Holdings Inc;AAC
2;Aaron's Inc;AAN
3;Advance Auto Parts Inc;AAP
4;American Assets Trust;AAT
5;Advantage Oil & Gas Ltd;AAV
6;Alliancebernstein Holding LP;AB
7;Abb Ltd;ABB
8;Abbvie Inc;ABBV
9;Amerisourcebergen Corp;ABC
10;Ambev S.A.;ABEV
11;Asbury Automotive Group Inc;ABG
12;ABM Industries Incorporated;ABM
13;Arbor Realty Trust;ABR
14;Arbor Realty Trust Inc;ABR-A
15;Arbor Realty Trust Inc;ABR-B
16;Arbor Realty Trust;ABR-C
17;Arbor Realty Trust 7.375% Senior;ABRN
18;Abbott Laboratories;ABT
19;Barrick Gold Corp;ABX
20;Associated Capital Group Inc;AC
21;American Campus Communities Inc;ACC
22;Acco Brands Corp;ACCO
23;Aluminum Corporation of China Ltd;ACH
24;Aecom Technology Corp;ACM
25;Accenture Plc;ACN
26;Avenue Income Credit Strategies;ACP
27;Ares Commercial Real Estate Cor;ACRE
28;Allianzgi Diversified Income &;ACV
29;Agree Realty Corp;ADC
30;Archer Daniels Midland Company;ADM
31;Adient Plc;ADNT
32;Alliance Data Systems Corp;ADS
33;Advanced Disposal Services Inc;ADSW
34;ADT Inc.;ADT
35;Adams Express Company;ADX
36;Aegon N.V. Perp Cap Secs Floating Rate [Ne];AEB
37;Aegon N.V. Perp Cap Secs [Ne];AED
38;Ameren Corp;AEE
39;Aegon N.V.;AEG
40;Aegon N.V. Perp Cap Secs;AEH
41;Aegon Nv 8.00% Non-Cum Notes Due 2042;AEK
42;American Equity Investment Life;AEL
43;Agnico-Eagle Mines Ltd;AEM
44;American Eagle Outfitters;AEO
45;American Electric Power Company;AEP
46;Aercap Holdings N.V.;AER
47;The Aes Corp;AES
48;Aetna Inc;AET
49;Anadarko Petroleum Corp;AEUA
50;Alliance National Municipal;AFB
51;Allied Capital Corp;AFC
52;American Financial Group;AFG
53;American Financial Group Inc;AFGE
54;American Financial Group Inc;AFGH
55;Armstrong Flooring Inc;AFI
56;Aflac Incorporated;AFL
57;Amtrust Financial Services Inc;AFS-A
58;Amtrust Financial Services Dep Pfd;AFS-B
59;Amtrust Financial Services Series C;AFS-C
60;Amtrust Financial Services Dep Pfd;AFS-D
61;Amtrust Financial Services Inc Prf;AFS-E
62;Amtrust Financial Services Inc;AFS-F
63;Amtrust Financial Services Inc;AFSS
64;Amtrust Financial Services Inc;AFST
65;Apollo Senior Floating Rate Fund Inc;AFT
66;First Majestic Silver;AG
67;Advent Claymore Convertible Securities;AGC
68;Agco Corp;AGCO
69;Alpine Global Dynamic Dividend Fund;AGD
70;Alamos Gold Inc;AGI
71;Federal Agricultural Mortgage Corp;AGM
72;Federal Agricultural Mortgage;AGM-A
73;Federal Ag;AGM-B
74;Federal Agricultural Mortgage;AGM-C
75;Federal Agricultural Mortgage Corp;AGM.A
76;Allergan Plc;AGN
77;Allergan Plc 5.50% Mandatory C;AGN-A
78;Assured Guaranty Ltd;AGO
79;Assured Guaranty Ltd [B];AGO-B
80;Assured Guaranty Ltd [E];AGO-E
81;Assured Guaranty Ltd [F];AGO-F
82;Avangrid Inc;AGR
83;Adecoagro S.A.;AGRO
84;Playags Inc.;AGS
85;Argan Inc;AGX
86;A.H. Belo Corp;AHC
87;Armada Hoffler Properties Inc;AHH
88;Aspen Insurance Holdings;AHL
89;Aspen Ins Pfd Inc;AHL-C
90;Aspen Insurance Holdings Ltd;AHL-D
91;Ashford Hospitality Prime Inc;AHP
92;Ashford Hospitality Prime Inc;AHP-B
93;Ashford Hospitality Trust Inc;AHT
94;Ashford Hosp D Pfd;AHT-D
95;Ashford Hospitality Trust Inc;AHT-F
96;Ashford Hospitality Trust Inc;AHT-G
97;Ashford Hospitality Trust Inc Cum Pfd Ser H;AHT-H
98;Ashford Hospitality Trust Inc. 7.50% Series I Pf;AHT-I
99;Arlington Asset Investment Corp;AI
100;Arlington Asset 7.00% Series B Pfd;AI-B
101;Arlington Asset Investment Cor;AIC
102;Apollo Tactical Income Fund Inc;AIF
103;American International Group;AIG
104;American International Group;AIG.W
105;Albany International Corp;AIN
106;AAR Corp;AIR
107;Applied Industrial Technologies;AIT
108;Apartment Investment and Management;AIV
109;Apartment Investment and Manag;AIV-A
110;Arlington Asset Investment Cor;AIW
111;Apollo Investment Corp;AIY
112;Assurant Inc;AIZ
113;Arthur J. Gallagher & Co;AJG
114;Aerojet Rocketdyne Holdings;AJRD
115;Great Ajax Corp;AJX
116;Great Ajax Corp 7.25% Convertible Senior Notes;AJXA
117;Embotell Andina Sa A;AKO.A
118;Embotell Andna Sa B;AKO.B
119;Alliance California Muni;AKP
120;Acadia Realty Trust;AKR
121;AK Steel Holding Corp;AKS
122;Air Lease Corporation Class A C;AL
123;Albemarle Corp;ALB
124;Allete Inc;ALE
125;Alexander and Baldwin Inc;ALEX
126;Alamo Group;ALG
127;Alaska Air Group;ALK
128;Allstate Corp;ALL
129;Allstate Corporation Pfd;ALL-A
130;Ally Financial Inc Fixed Rate F;ALL-B
131;The Allstate Corp;ALL-C
132;Allstate Corp;ALL-D
133;The Allstate Corp;ALL-E
134;The Allstate Corp;ALL-F
135;GMAC Capital Trust I Fixed Rate;ALL-Y
136;Allegion Plc Ordinary Shares Wh;ALLE
137;Ally Financial;ALLY
138;Alabama Power Co. Pfd;ALP-Q
139;Allison Transmission Holdings;ALSN
140;Autoliv Inc;ALV
141;Alexander's Inc;ALX
142;Antero Resources Midstream Llc;AM
143;Amber Road Inc;AMBR
144;Amc Entertainment Holdings Inc;AMC
145;Amtek Inc;AME
146;Affiliated Managers Group;AMG
147;Antero Midstream Gp LP;AMGP
148;American Homes 4 Rent;AMH
149;American Homes;AMH-C
150;American Homes 4 Rent;AMH-D
151;American Homes 4 Rent 6.35% Ser;AMH-E
152;American Homes 4 Rent Cum Red Perp Pfd Shs;AMH-F
153;American Homes 4 Rent Series G Pfd;AMH-G
154;American Midstreampartners LP;AMID
155;Amn Healthcare Services Inc;AMN
156;America Movil A ADR;AMOV
157;Ameriprise Financial Services;AMP
158;Ameresco Inc;AMRC
159;American Tower Corp;AMT
160;America Movil S.A.B. De C.V.;AMX
161;Autonation Inc;AN
162;Andeavor;ANDV
163;Andeavor Logistics LP;ANDX
164;Arista Networks Inc;ANET
165;Abercrombie & Fitch Company;ANF
166;Amira Nature Foods Ltd;ANFI
167;Anworth Mortgage Asset Corp;ANH
168;Anworth Mtg Pfd A;ANH-A
169;Anworth 6.25 Pr S B;ANH-B
170;Anworth Mortgage Asset Corpora;ANH-C
171;Anthem Inc;ANTM
172;Anthem Inc;ANTX
173;Aegean Marine Petroleum Network;ANW
174;Alpine Total Dynamic Dividend;AOD
175;Alliance One International;AOI
176;AON Plc;AON
177;Smith [A.O.] Corp;AOS
178;Ampco-Pittsburgh Corp;AP
179;Apache Corp;APA
180;Artisan Partners Asset Manageme;APAM
181;Asia Pacific Fund Inc;APB
182;Anadarko Petroleum Corp;APC
183;Air Products and Chemicals;APD
184;Morgan Stanley Asia Pacific Fund Inc;APF
185;Amphenol Corp;APH
186;Apple Hospitality REIT Inc;APLE
187;Apollo Global Management Llc C;APO
188;Apollo Global Management Llc Pfd Ser A;APO-A
189;Blue Apron Holdings Inc;APRN
190;Preferred Apartment Communities;APTS
191;Aptiv Plc;APTV
192;Amerigas Partners LP;APU
193;Aquantia Corp;AQ
194;Algonquin Pwr & Util;AQN
195;Evoqua Water Technologies Corp;AQUA
196;Antero Resources Corp;AR
197;American Renal Associates Holdi;ARA
198;American Reprographics Company;ARC
199;Arch Coal Inc;ARCH
200;Arcos Dorados Holdings Inc;ARCO
201;Ardagh Group S.A.;ARD
202;Ares Dynamic Credit Allocation;ARDC
203;Alexandria Real Estate Equities;ARE
204;Alexandria Real Estate Equities;ARE-A
205;Alexandria Real Estate Equitie;ARE-D
206;Ares Management LP;ARES
207;Apollo Commercial Real Estate;ARI
208;Apollo Commercial 8% Cum. Perp. Pfd. Series C;ARI-C
209;American Realty Investors;ARL
210;Aramark Holdings Corp;ARMK
211;Arconic Inc;ARNC
212;Archrock Inc;AROC
213;Armour Residential R;ARR
214;Armour Residential REIT Inc;ARR-A
215;Armour Residential REIT Inc;ARR-B
216;Arrow Electronics;ARW
217;ASA Gold and Precious Metals;ASA
218;Associated Banc-Corp;ASB
219;Associated Banc-Corp Depositary;ASB-C
220;Associated Banc-Corp;ASB-D
221;Ardmore Shipping Corp;ASC
222;Liberty All-Star Growth Fund;ASG
223;On Assignment;ASGN
224;Ashland Global Holdings Inc;ASH
225;Advansix Inc;ASIX
226;Aspen Aerogels Inc;ASPN
227;Grupo Aeroportuario Del Sureste;ASR
228;Advanced Semiconductor Engineering;ASX
229;Atlantic Power Corp;AT
230;A10 Networks Inc;ATEN
231;Adtalem Global Education Inc;ATGE
232;Athene Holding Ltd;ATH
233;Autohome Inc;ATHM
234;Allegheny Technologies Inc;ATI
235;Atkore International Group;ATKR
236;Atmos Energy Corp;ATO
237;Aptargroup;ATR
238;Atento S.A.;ATTO
239;Actuant Corp;ATU
