;Company;Symbol
0;American Airlines Gp;AAL
1;Atlantic Amer Cp;AAME
2;Applied Optoelect;AAOI
3;Aaon Inc;AAON
4;Apple Inc;AAPL
5;Atlas Air Ww;AAWW
6;Ishares Aca X-Japan ETF;AAXJ
7;Axon Inc;AAXN
8;Aoxin Tianli Grp;ABAC
9;Abaxis Inc;ABAX
10;Ameris Bancorp;ABCB
11;Cambium Learning Grp;ABCD
12;Alcentra Capital Com;ABDC
13;Abeona Therapeutics;ABEO
14;Abeona Thera Wts;ABEOW
15;Ability Inc;ABIL
16;Arca Biopharma Inc;ABIO
17;Ablynx Nv;ABLX
18;Abiomed Inc;ABMD
19;Allegiance Banc CS;ABTX
20;Arbutus Biopharma Cp;ABUS
21;Acadia Pharmaceutica;ACAD
22;Atlantic Capital;ACBI
23;Acer Therapeutics Inc;ACER
24;Acer Therapeutics Inc WT;ACERW
25;Aceto Cp;ACET
26;Atlantic Coast Finl;ACFC
27;Arch Capital Grp Ltd;ACGL
28;Arch Capital Group Ltd ADR;ACGLO
29;Arch Capital Group Ltd;ACGLP
30;Acadia Healthcr Co;ACHC
31;Achillion Pharmaceut;ACHN
32;Achieve Life Sciences Inc;ACHV
33;Acacia Communica;ACIA
34;AC Immune S.A.;ACIU
35;Aci Worldwide Inc;ACIW
36;Axcelis Tech Inc;ACLS
37;Acm Research Inc;ACMR
38;Acnb Corp;ACNB
39;Acorda Therapeutics;ACOR
40;Aclaris Therapts;ACRS
41;Acelrx Pharmaceutica;ACRX
42;American Capital Sen;ACSF
43;Acasti Pharma;ACST
44;Advisorshares Vice ETF;ACT
45;Acacia Res-Acacia;ACTG
46;Ishares ACWI ETF;ACWI
47;Ishares ACWI Ex-US ETF;ACWX
48;Acxiom Cp;ACXM
49;Adaptimmune Ther Ads;ADAP
50;Adobe Systems Inc;ADBE
51;Advanced Emissions Solutions Inc;ADES
52;Analog Devices;ADI
53;Adma Biologics;ADMA
54;Adamis Pharmaceuticl;ADMP
55;Adamas Pharma;ADMS
56;Adomani Inc;ADOM
57;Automatic Data Procs;ADP
58;Bldrs Asia 50 Fd;ADRA
59;Bldrs Dev Mkts 100;ADRD
60;Bldrs EM Mkts 50;ADRE
61;Aduro Biotech;ADRO
62;Bldrs EUR 100 Fd;ADRU
63;Autodesk Inc;ADSK
64;Adtran Inc;ADTN
65;Addus Homecare Corpo;ADUS
66;Adverum Biotechnlgs;ADVM
67;Advaxis Inc;ADXS
68;Advaxis Inc Wts;ADXSW
69;Aegion Corp;AEGN
70;Aehr Test Systems;AEHR
71;Advanced Energy;AEIS
72;Aethlon Medical;AEMD
73;Aerie Pharmaceutical;AERI
74;American Electric Te;AETI
75;Addvantage Techs Grp;AEY
76;Aeterna Zentaris;AEZS
77;Almost Family Inc;AFAM
78;Atlas Fincl Hld Ord;AFH
79;Atlas Financial Holdings Inc 6.625% Senior Uns;AFHBL
80;Affimed N.V.;AFMD
81;Amtrust Financial;AFSI
82;Agenus Inc;AGEN
83;Agrofresh Solutions;AGFS
84;Agrofresh Sol Wrrnts;AGFSW
85;Argo Group Intl Hlds;AGII
86;Argo Grp Itl Snr NTS;AGIIL
87;Agios Pharmaceutical;AGIO
88;Aeglea Biothera;AGLE
89;American Capital Age;AGNC
90;American Cap Agy Cor;AGNCB
91;Agnc Investment Corp;AGNCN
92;Wisdomtree Neg Duration US Agg Bond Fund;AGND
93;Agile Therap;AGRX
94;Applied Genetic Tech;AGTC
95;Agilysys Inc;AGYS
96;Wisdomtree Int Rate US Agg Bond Fund;AGZD
97;Alliance Holdings Gp;AHGP
98;Avista Healthcare Public Acquisition Corp Class;AHPA
99;Avista Healthcare Public Acquisition Corp Warra;AHPAW
100;Allied Healthcare;AHPI
101;Ishares Asia 50 ETF;AIA
102;Altra Indtl Mtn;AIMC
103;Aimmune Therap;AIMT
104;Apollo Investment Co;AINV
105;Precision Therapeutics Inc.;AIPT
106;Airgain Inc;AIRG
107;Rba American Industrial Renaissance ETF FT;AIRR
108;Air T Inc;AIRT
109;Akamai Technologies;AKAM
110;Achaogen Inc;AKAO
111;Akebia Therapeutics;AKBA
112;Akcea Therapeutics Inc;AKCA
113;Akers Biosciences;AKER
114;Akorn Inc;AKRX
115;Akoustis Technologies Inc;AKTS
116;Akari Therapeutics;AKTX
117;Albireo Pharma Inc;ALBO
118;Alico Inc;ALCO
119;Alder Biopharma;ALDR
120;Aldeyra Therapeu;ALDX
121;Align Technology I;ALGN
122;Allegiant Travel Com;ALGT
123;Alimera Sciences Inc;ALIM
124;Alj Regional Hold;ALJJ
125;Alkermes Plc;ALKS
126;Allot Communications;ALLT
127;Allena Pharmaceuticals Inc;ALNA
128;Alnylam Pharmaceut;ALNY
129;Analogic Cp;ALOG
130;Astronova Inc;ALOT
131;Alpine Immune Sciences Inc;ALPN
132;Alliqua Biomedical;ALQA
133;Alarm.Com;ALRM
134;Aileron Therapeutics Inc;ALRN
135;Alaska Commun Sys;ALSK
136;Altimmune Inc;ALT
137;Altair Engineering Inc Class A;ALTR
138;G-X Super Dividend Alternatives ETF;ALTY
139;Alexion Pharm Inc;ALXN
140;Amag Pharmaceuticals;AMAG
141;Applied Materials;AMAT
142;Ambarella Inc;AMBA
143;Ambac Financial Grp;AMBC
144;Ambac Financial Grp;AMBCW
145;Ishares Russell 1000 Pure U.S. Revenue ETF;AMCA
146;Airmedia Group Inc;AMCN
147;Amc Networks Cl A;AMCX
148;Adv Micro Devices;AMD
149;Amedica Corp;AMDA
150;Amedisys Inc;AMED
151;Apollo Medical Holdings Inc;AMEH
152;Amgen;AMGN
153;Amkor Technology;AMKR
154;Alliance Mma Inc;AMMA
155;American Natl Bksh;AMNB
156;Allied Motion Tech;AMOT
157;Amphastar Pharma;AMPH
158;Alta Mesa Resources Inc.;AMR
159;American River Bkshs;AMRB
160;Ameri Holdings Inc;AMRH
161;Ameri Holdings Inc Warrant;AMRHW
162;A-Mark Precious Meta;AMRK
163;Amarin Corp Ads;AMRN
164;Amyris Inc;AMRS
165;Alta Mesa Resources Inc. Wt.;AMRWW
166;Amer Superconductor;AMSC
167;Amerisafe Inc;AMSF
168;Amer Software Inc;AMSWA
169;TD Ameritrade HD;AMTD
170;Aemetis Inc;AMTX
171;Amer Woodmark Cp;AMWD
172;Amazon.Com Inc;AMZN
173;Anaptysbio Inc;ANAB
174;Amer Natl Insurance;ANAT
175;Anchor Bancorp;ANCB
176;Access National Corp;ANCX
177;Andina Acq Cp Ord Sh;ANDA
178;Andina Acq Cp Rt;ANDAR
179;Andina Acq Cp WT;ANDAW
180;Andersons Inc;ANDE
181;Homeservices Inc;ANGI
182;Angiodynamics Inc;ANGO
183;Anika Therapeutics;ANIK
184;ANI Pharma Inc;ANIP
185;Ansys Inc;ANSS
186;Anthera Pharmaceutic;ANTH
187;Sphere 3D Corp;ANY
188;American Outdoor Brands Corp;AOBC
189;Alpha and Omega Semi;AOSL
190;Applied Dna Scns;APDN
191;Applied Dna Sci Wrnt;APDNW
192;American Pub. Edu.;APEI
193;Apollo Endosurgery Inc;APEN
194;Archrock Partners LP;APLP
195;Apellis Pharmaceuticals Inc;APLS
196;Apogee Entrpr Inc;APOG
197;Cellect Biotechnology Ltd;APOP
198;Cellect Biotechnology Ltd;APOPW
199;Appfolio Cl A;APPF
200;Appian Corporation Class A;APPN
201;Digital Turbine;APPS
202;Apricus Biosc Inc;APRI
203;Apptio Inc;APTI
204;Aptose Bioscns;APTO
205;Aptevo Therapeutics Inc;APVO
206;Asia Pacific Wire & Cable;APWC
207;Aquabounty Technologies Inc;AQB
208;Aqua Metals Inc;AQMS
209;Aquinox Pharmaceutic;AQXP
210;Accuray Incorporated;ARAY
211;Arcbest Corp;ARCB
212;Ares Capital Corp;ARCC
213;Applnc Rcycl Ct Amer;ARCI
214;Arcturus Therapeutics Ltd;ARCT
215;Arc Group Worldwide;ARCW
216;Aradigm Corp;ARDM
217;Ardelyx Inc;ARDX
218;Approach Res. Inc;AREX
219;Argos Therapeutics;ARGS
220;Argenx Se Ads;ARGX
221;American Railcar Ind;ARII
222;Ark Restaurants Cp;ARKR
223;Alliance Resource Pt;ARLP
224;Aralez Pharm Inc;ARLZ
