;Company;Symbol;ISIN;WKN
0;FACC AG INH.AKT.;1FC;AT00000FACC2;000A1147K
1;AGRANA BET.AG INH.;AGB1;AT0000603709;779535
2;RAIFFEISEN BK INTL INH.;RAW;AT0000606306;000A0D9SU
3;PORR AG;ABS2;AT0000609607;850185
4;CA IMMOB.ANL.;BZY;AT0000641352;876520
5;LENZING AG;LEN;AT0000644505;852927
6;ERSTE GROUP BNK INH. O.N.;EBO;AT0000652011;909943
7;S IMMO AG;T1L;AT0000652250;902388
8;TELEKOM AUSTRIA AG;TA1;AT0000720008;588811
9;ANDRITZ AG;AZ2;AT0000730007;632305
10;OMV AG;OMV;AT0000743059;874341
11;VERBUND AG       INH. A;OEWA;AT0000746409;877738
12;SANOCHEM. PHARMAZEUTIKA;SAC;AT0000776307;919963
13;FABASOFT AG;FAA;AT0000785407;922985
14;IMMOFINANZ AG INH.;IMO;AT0000809058;911064
15;DO + CO AG;DOQ;AT0000818802;915210
16;KTM INDUSTRIES AG;BFC;AT0000820659;919331
17;UNIQA INSURANCE GROUP AG;UN9;AT0000821103;928900
18;WARIMPEX FIN.U.BETEIL. AG;WFS;AT0000827209;000A0LGV4
19;WIENERBERGER;WIB;AT0000831706;852894
20;WOLFORD AG;WOF;AT0000834007;893975
21;ZUMTOBEL GROUP AG INH. A;T9Z;AT0000837307;000A0JLPR
22;VIENNA INSURANCE GRP INH.;WSV2;AT0000908504;000A0ET17
23;ROSENBAUER INTL;ROI;AT0000922554;892502
24;VOESTALPINE AG;VAS;AT0000937503;897200
25;SCHOELLER-BLECKMANN OILF.;SLL;AT0000946652;907391
26;AT+S AUSTR.T.+SYSTEMT.;AUS;AT0000969985;922230
27;POLYTEC HLDG AG INH. EO 1;P4N;AT0000A00XX9;000A0JL31
28;PETRO WELT TECHNOLOGIE.AG;O2C;AT0000A00Y78;000A0JKWU
29;S+T AG (Z.REG.MK.Z.)O.N.;SANT;AT0000A0E9W5;000A0X9EJ
30;OESTERREICH. POST AG;O3P;AT0000APOST4;000A0JML5
31;BUWOG AG;BWO;AT00BUWOG001;000A1XDYU
32;AGFA-GEVAERT N.V.;AGE;BE0003755692;920872
33;AGEAS SA/NV;FO4N;BE0974264930;000A1J1DR
