;Company;Symbol
0;Altisource Asset;AAMC
1;Almaden Minerals;AAU
2;Aberdeen EM Smaller Company Fund;ABE
3;ACWI IMI MSCI ETF SPDR;ACIM
4;American Customer Satisfaction Core Alpha ETF;ACSI
5;Acme United Corp;ACU
6;Ishares Global Multifactor ETF;ACWF
7;All Country World Min Vol MSCI Ishares;ACWV
8;Aerocentury Corp;ACY
9;DB Agriculture -1X ETN Powershares;ADZ
10;Adams Resources & Energy;AE
11;Africa Index ETF Vaneck;AFK
12;CSOP FTSE China A50 ETF;AFTY
13;DB Agriculture -2X ETN Powershares;AGA
14;DB Agriculture ETN Powershares;AGF
15;Aggregate Bond Ishares;AGG
16;IQ Enhanced Core Bond U.S. ETF;AGGE
17;IQ Enhanced Core Plus Bond U.S.;AGGP
18;Wisdomtree Yield Enhcd US Agg Bond Fund;AGGY
19;Ultra Silver Proshares;AGQ
20;Argentina Index MSCI Ishares;AGT
21;Agency Bond Ishares;AGZ
22;Ai Powered Equity ETF;AIEQ
23;Ashford Inc;AINC
24;Air Industries Group Inc;AIRI
25;Asanko Gold Inc;AKG
26;Asia Local Debt ETF Wisdomtree;ALD
27;Alphaclone Alternative Alpha ETF;ALFA
28;Alphaclone International ETF;ALFI
29;American Lorain Corp;ALN
30;Alio Gold Corp;ALO
31;Mstar Alternative Solutions Proshares;ALTS
32;Alerian MLP Index ETN JP Morgan;AMJ
33;X-Links Mthy Pay 2X Leveraged Alerian MLP;AMJL
34;Alps Alerian MLP ETF;AMLP
35;Oil Hedged MLP Income ETF;AMLX
36;Ampio Pharmaceutical;AMPE
37;American Shared Hospital Services;AMS
38;Etracs Alerian MLP Index ETN;AMU
39;Etracs Alerian MLP ETN Series B;AMUB
40;Infracap MLP ETF;AMZA
41;Fallen Angel HY Bond ETF Vaneck;ANGL
42;S&P Aggressive Allocation Ishares;AOA
43;S&P Conservative Allocation Ishares;AOK
44;S&P Moderate Allocation Ishares;AOM
45;S&P Growth Allocation Ishares;AOR
46;Ampliphi Biosciences Corp;APHB
47;Alpha Pro Tech;APT
48;Arrow Reserve Capital Management ETF;ARCM
49;G-X FTSE Argentina 20 ETF;ARGT
50;Ark Genomic Revolution Multi-Sector ETF;ARKG
51;Ark Innovation ETF;ARKK
52;Ark Industrial Innovation ETF;ARKQ
53;Ark Web X.0 ETF;ARKW
54;Arconic Inc Pf 3.75;ARN.P
55;Associated Banc-Corp WT;ASB.W
56;G-X FTSE Asean 40 ETF;ASEA
57;Db-Xt Harvest CSI 300 China A;ASHR
58;Db-Xt Harvest CSI 500 China A;ASHS
59;Db-Xt CSI 300 China A Hgd Eq;ASHX
60;Avino Silver & Gold;ASM
61;Asterias Biotherapeutics Inc;AST
62;Barclays Plus Select MLP ETN;ATMP
63;Actinium Pharmaceuticals Inc;ATNM
64;Auryn Resources Inc;AUG
65;Golden Minerals Co;AUMN
66;Australia Dividend Wisdomtree;AUSE
67;Avalon Holdings Corp;AWX
68;Asia Pacific Ex-Japan Wisdomtree;AXJL
69;Asia Ex Japan Mini Ishares ETF;AXJV
70;Alexco Resource Corp;AXU
71;GEMS Asia 8 ETN Ipath;AYT
72;Build America Bond Powershares;BAB
73;DJ-UBS Cotton TR Sub-Idx ETN Ipath;BAL
74;Cotton Subindex TR ETN Ipatha Series B Bloomberg;BALB
75;Graniteshares Gold Trust Shares of Beneficial In;BAR
76;Bioshares Biotech Clinical Trial;BBC
77;Bioshares Biotech Products;BBP
78;Columbia Beyond Brics ETF;BBRC
79;All Commodity Longer Dated Strategy ETF;BCD
80;All Commodity Strategy K-1 Free ETF;BCI
81;Broad Commodity Pure Beta ETN Ipath;BCM
82;Bancroft Convertible Fund;BCV
83;Bancroft Fund Ltd;BCV-A
