;Company;Symbol
0;BAYWA AG NPV(VINK);0AH7.L
1;CRCAM NORD DE FRANCE EUR3.05;0AHI.L
2;CARLSBERG `A`DKK20;0AI3.L
3;CARLSBERG `B`DKK20;0AI4.L
4;DANIELI & C EUR1;0APM.L
5;FUCHS PETROLUB AG NPV;0B4R.L
6;GALP ENERGIA SGPS EUR1 CLS`B`;0B67.L
7;IMPREGILO SPA NPV;0BJP.L
8;KESKO OYJ NPV SER`A`;0BNS.L
9;KESKO OYJ NPV SER`B`;0BNT.L
10;KSB AG NON VTG PRF;0BQE.L
11;QSC AG NPV;0CHZ.L
12;RAISIO YHTYMA OYJ NPV(CNV)`V`;0CIJ.L
13;STORA ENSO OYJ SER`R`NPV;0CXC.L
14;FINANCIERE DE TUBIZE NPV;0D53.L
15;AF GRUPPEN ASA NOK0.05;0DH7.L
16;CARL ZEISS MEDITEC AG NPV;0DHC.L
17;AUTOGRILL SPA EUR0.52;0DHJ.L
18;AGRANA BETEILIGUNGS AG NPV;0DHR.L
19;ALM. BRAND DKK80;0DJI.L
20;ALMA MEDIA CORP NPV;0DJN.L
21;ALTRI SGPS S.A. EUR0.25;0DJV.L
22;AMADEUS AG PERSONALDIENSTLEI NPV;0DK9.L
23;AEDIFICA NPV;0DKX.L
24;ARQUES AG NPV;0DLF.L
25;AMSTERDAM COMMODITIES NV EUR0.45;0DLI.L
26;AAREAL BANK EUR26;0DLT.L
27;ARTPRICE.COM EUR1;0DM3.L
28;ASCOPIAVE SPA EUR1;0DME.L
29;A.S.G.(ANDY SPYROU)GROUP EUR0.35;0DMM.L
30;ASTALDI EUR2;0DMQ.L
31;ASTROC MEDITERRANEO SA EUR0.2;0DMT.L
32;ASSYSTEM SA EUR1;0DMV.L
33;ATOS ORIGIN EUR1;0DNH.L
34;AUTOSTRADE MERIDIONALI SPA EUR2.07;0DNS.L
35;AUSTEVOLL SEAFOOD ASA NOK0.50;0DNW.L
36;AUXIMINES NEW NPV(POST SPLIT);0DNZ.L
37;AVALON ENTERPRISE AB SER`B`NPV;0DO1.L
38;AVACOM NET EUR0.17;0DO6.L
39;AVENIR TELECOM EUR0.20;0DO7.L
40;BIOFRONTERA AG NPV;0DOL.L
41;BANK HANDLOWY W WARSZAWIE PLN4;0DOS.L
42;BANK PEKAO SA PLN1;0DP0.L
43;BASWARE OYJ NPV;0DP4.L
44;BANCA TRANSILVANIA CLUJ RON1;0DP9.L
45;BAVARIAN NORDIC RESEARCH INDSTITUTE DKK10;0DPB.L
46;BPI SOCIEDADE GESTORA PARTIC SOCIAI EUR1(REGD);0DPG.L
47;BECHTLE AG NPV;0DPM.L
48;BELGACOM NPV;0DPU.L
49;BARON DE LEY EUR0.60;0DPW.L
50;BEIERSDORF AG NPV;0DQ7.L
51;BE SEMICONDUCTOR INDUSTRIES NV EUR0.91;0DQH.L
52;BETER BED EUR0.02;0DQK.L
53;BETTING PROMOTION SWEDEN AB NPV;0DQM.L
54;BELVEDERE EUR2;0DQP.L
55;BANCA GENERALI EUR1;0DQZ.L
56;BANK MILLENNIUM S.A. PLN1;0DRH.L
57;BUDIMEX PLN5;0DST.L
58;BANQUE NATIONALE DE BELGIQUE NPV;0DT1.L
59;BOIRON EUR1;0DTF.L
60;BONGRAIN SA EUR1;0DTK.L
61;BRE BANK PLN4;0DU3.L
62;BASLER AG ORD NPV;0DUI.L
63;BIESSE EUR1;0DUK.L
64;BANCO DE VALENCIA EUR1(REGD);0DVD.L
65;BORUSSIA DORTMUND KGAA NPV;0DVE.L
66;BANK ZACHODNI WBK PLN10;0DVR.L
67;CREDIT AGRICOLE D`ILE-DE FRANCE EUR4(CERTS D`INVEST);0DW1.L
68;CA IMMOBILIEN ANLAGEN AG NPV;0DW3.L
69;CALTAGIRONE SPA EUR1;0DW4.L
70;INTERCALL EUR1;0DW5.L
71;CAPINORDIC AS DKK0.5;0DW9.L
72;CREDIT AGRICOLE DE TOULOUSE EUR16 CERTS D`INVEST;0DWL.L
73;CCB REAL ESTATE FUND REIT-SOFIA BGN1;0DX2.L
74;SECHE ENVIRONNEMENT EUR0.20;0DX8.L
75;CROPENERGIES AG NPV;0DXG.L
76;CEMBRE SPA EUR0.52;0DXU.L
77;CEMENTIR SPA EUR1;0DXV.L
78;CHEMOLAC SKK1000;0DXW.L
79;CENTROTEC SUSTAINABLE NPV;0DYD.L
80;CEGEDIM EUR0.9528;0DYQ.L
81;CONERGY AG NPV;0DYU.L
82;ACERIAS Y FORJAS DE AZCOITIA EUR0.25;0DZC.L
83;CIR-COMPAGNIE INDUSTRIALI SPA EUR0.50;0DZH.L
84;GROUPE CRIT EUR0.36;0DZJ.L
85;LEVANTINA DE EDIFICACION OBRAS PUBL ORD EUR1;0DZN.L
86;CELESIO AG NPV;0DZT.L
87;CENTRALE LATTE TORINO EUR2.06;0DZU.L
88;COMBOTS AG NPV;0DZX.L
89;COFIDE EUR0.50;0E0L.L
90;COLUMBUS IT PARTNER DKK1.25;0E0X.L
91;COMROD COMMUNICATIONS ASA NOK1;0E12.L
92;SYGNITY SA PLN1;0E13.L
93;CAPMAN OYJ SER`B`NPV;0E1L.L
94;COMPUTERLINKS COMPUTERHANDELS AG NPV;0E1Q.L
95;CRAMO PLC NPV;0E1S.L
96;CHARGEURS EUR16;0E1Y.L
97;CSP INTERNATIONAL IND CALZ SPA EUR0.52;0E2B.L
98;CITYCON OYJ NPV;0E2N.L
99;DATALOGIC SPA EUR0.52;0E3C.L
100;DEA CAPITAL SPA EUR1;0E40.L
101;DELACHAUX EUR0.64;0E4B.L
102;DESPEC MULTIMEDIA SA EUR0.30(CR);0E4H.L
103;DELTICOM AG NPV (REGD);0E4J.L
104;DEUTZ AG NPV;0E4K.L
105;DIAGENIC ASA NOK0.05;0E4Q.L
106;DIDIER-WERKE AG NPV;0E4X.L
107;DIONIC SA EUR0.30(CR);0E5A.L
108;DE LONGHI EUR3;0E5M.L
109;DIGITAL MULTIMEDIA TECHNOLOGIES SPA ORD EUR0.10;0E5V.L
110;DO & CO RESTAURANTS & CATERUNG AG NPV;0E64.L
111;DEUTSCHE POSTBANK AG NPV;0E6M.L
112;DRILLISCH AG NPV;0E6Y.L
113;D&S EUROPE AG NPV;0E77.L
114;DUERR AG NPV;0E7I.L
115;DEVOTEAM SA EUR0.15;0E7S.L
116;ENCRES DUBUIT EUR0.40;0E8U.L
117;EKORNES NOK1(REGD);0E9S.L
118;ENERGIEKONTOR AG NPV;0E9V.L
119;ELICA EUR0.2;0EA2.L
120;ENAGAS SA EUR1.50;0EBQ.L
121;EASY SOFTWARE NPV;0EDB.L
122;NETGEM NPV;0EDE.L
123;CTS EVENTIM NPV;0EEE.L
124;EVN AG NPV;0EEI.L
125;EXMAR SA NPV;0EEV.L
126;F.A.M.E. FILM & MUSIC ENTERTAINMENT NPV (POST SPLIT);0EF9.L
127;FINNAIR EUR0.85;0EG8.L
128;FRED OLSEN ENERGY ASA NOK20;0EHF.L
129;FERSA ENERGIAS RENOVABLES EUR1;0EIB.L
130;F-SECURE OYJ NPV;0EIE.L
131;TIGENIX NV NPV;0EIT.L
132;LINK SOLUTIONS FOR INDUSTRY EUR2;0EKE.L
133;GEFRAN EUR1;0EKI.L
134;GIMV NPV;0EKR.L
135;NORBERT DENTRESSANGLE EUR1.60;0ELC.L
136;BOURBON SA NPV;0ELN.L
137;GUERBET EUR4;0ELV.L
138;HANSEYACHTS AG NPV;0EN5.L
139;HARTMANN BRODRENE DKK20;0ENF.L
140;HORNBACH BAUMARKT AG NPV;0ENN.L
141;HEXAGON COMPOSITES ASA NOK0.10;0EOF.L
142;HOLLAND COLOURS ORD EUR2.27;0EPM.L
143;HOCHTIEF AG NPV;0EPW.L
144;INDUS-HOLDING AG NPV;0EUH.L
145;INNATE PHARMA A EUR0.05;0EVI.L
146;INTESA SANPAOLO SPA DI RISP EUR0.52(NON CNV);0EW0.L
147;ISRA VISION AG NPV;0EW1.L
148;INTERPUMP GROUP EUR0.52;0EWD.L
149;KAP-BETEILIGUNGS-AG NPV;0EWJ.L
150;INIT AG NPV;0EWR.L
151;JENOPTIK AG NPV;0EX7.L
152;JERONIMO MARTINS SGPS EUR1.;0EXG.L
153;JUNGHEINRICH NON VTG PRF SHS NPV;0EXP.L
154;KAS BANK N.V. CVA EUR1;0EYB.L
155;KBC GROUPE SA NPV;0EYG.L
156;KOBENHAVEN LUFTHAVE AS DKK100;0EYJ.L
157;KAUFMAN & BROAD EUR0.26;0F07.L
158;KONGSBERG GRUPPEN ASA NOK5;0F08.L
159;KITRON ASA NOK1;0F0J.L
160;KWS SAAT AG NPV;0F1N.L
161;LACROIX INDUSTRIES NPV;0F1U.L
162;LASSILA & TIKAN ORD NPV;0F29.L
163;LDLC.COM EUR0.18;0F2N.L
164;LA DORIA SPA EUR1.22;0F2Q.L
165;LEIFHEIT AG NPV;0F2Z.L
166;LINGOTES ESPECIALE EUR1;0F3G.L
167;KLEPIERRE EUR1.40;0F4I.L
168;LOTUS BAKERIES ORD NPV;0F4O.L
169;GRUPA LOTOS SA PLN1;0F58.L
170;MARTELA SER`A`NPV;0F6D.L
171;MAUREL & PROM EUR0.77;0F6L.L
172;HERMLE BERTHOLD NON VTG PRF NPV;0F6S.L
173;DURO FELGUERA EUR0.5;0F7F.L
174;METSO OYJ NPV1.70;0F89.L
175;MAISONS FRANCE CONFORT NPV;0F8T.L
176;MGI COUTIER EUR8;0F8V.L
177;MELEXIS NPV;0FA0.L
178;MOTA ENGIL SGPS EUR1;0FB0.L
179;MICRO SYSTEMATIONS NPV SER`B`;0FBM.L
180;MOBISTAR NPV;0FBS.L
181;MTU AERO ENGINES INVEST NPV (REGD);0FC9.L
182;MVV ENERGIE AG NPV;0FCK.L
183;MASTERFLEX AG NPV;0FCT.L
184;NICOLAS CORREA SA EUR0.8;0FDN.L
185;NEMETSCHEK AG ORD NPV;0FDT.L
186;NEUROSEARCH DKK20;0FE8.L
